name_en,name_br,name_fr,name_ge,name_po,name_ru,name_sc,name_sp
"Instantly gain 20% in all terraforming parameters.

<color flavor>""Is such a thing even possible? Yes, it is!"" 
<right>Giorgio A. Tsoukalos</color><left>","Ganhar instantaneamente 20% em todos os parâmetros de terraformação.

<color flavor>“Será que isso é possível? Sim, é!” 
<right>Giorgio A. Tsoukalos</color><left>","Gain instantané de 20 % pour tous les paramètres de terraformation.

<color flavor>« Une telle chose est-elle possible ? Oui ! »
<right>Giorgio A. Tsoukalos</color><left>","Erhalte sofort 20 % auf alle Terraforming-Parameter.

<color flavor>„Ist so etwas überhaupt möglich? Ja, ist es.“
<right>Giorgio A. Tsoukalos</color><left>","Natychmiast uzyskujesz 20% do wszystkich parametrów terraformingu.

<color flavor>„Czy takie coś jest w ogóle możliwe? Oczywiście!” 
<right>Giorgio A. Tsoukalos</color><left>","Все показатели терраформирования увеличатся на 20%.

<color flavor>«Такое вообще возможно? Да!»
<right>Джорджио А. Цукалос</color><left>","所有地球化参数立刻上升20%。

<color flavor>“这种事可能吗？可能啊！”
<right>乔吉奥·A·佐卡洛斯</color><left>","Recibe un 20 % en todos los parámetros de terraformación.

<color flavor>""¿Es posible algo así? ¡Sí, lo es!"".
<right>Giorgio A. Tsoukalos</color><left>"
"Newly grown forests have a chance to spawn Vistas and Research Sites.

<color flavor>""For in the true nature of things, if we rightly consider, every green tree is far more glorious than if it were made of gold and silver."" 
<right>Martin Luther</color><left>","Florestas recém-criadas podem gerar Vistas e Locais de Pesquisa.

<color flavor>“Pois na verdadeira natureza das coisas, se considerarmos corretamente, cada árvore verde é muito mais gloriosa que se fosse feita de ouro e prata.”
<right>Martin Luther</color><left>","Les forêts nouvellement cultivées vont pouvoir générer des paysages et des sites de recherche.

<color flavor>« Tout bien considéré, c'est la vraie nature des choses que chaque arbre vert soit beaucoup plus glorieux que s'il était fait d'or et d'argent. »
<right>Martin Luther</color><left>","Neu gewachsene Wälder können neue Aussichten und Forschungsstätten schaffen.

<color flavor>„Wenn wir die Dinge in ihrer wahren Natur betrachten, dann ist jeder grüne Baum weit herrlicher als wenn er aus Gold und Silber gemacht wäre.“
<right>Martin Luther</color><left>","Nowo zasadzone lasy mają szansę generowania punktów widokowych i stanowisk badawczych.

<color flavor>„Albowiem w prawdziwej naturze rzeczy, jeśli ją odpowiednio rozważyć, każde zielone drzewo jest o wiele wspanialsze, niż gdyby było ze srebra i złota”. 
<right>Marcin Luter</color><left>","При выращивании лесов есть шанс получить красивые виды и места проведения исследований.

<color flavor>«Для того, кто умеет видеть истинную природу вещей, простое зеленое дерево — большее чудо, чем дерево из золота или серебра».
<right>Мартин Лютер Кинг</color><left>","新种植的森林有几率产生景观和研究地点。

<color flavor>""如果我们正确地思索万物的本质，就会明白金树银树都不如棵棵绿树。""
<right>马丁- 路德</color><left>","Los bosques nuevos tienen una probabilidad de generar vistas y zonas de investigación.

<color flavor>""Ya que en la verdadera naturaleza de las cosas, si lo consideramos bien, cada árbol verde es mucho más glorioso que si estuviese hecho de oro y plata"".
<right>Martin Luther</color><left>"
"Lake pumps are self-sufficient and no longer need to be supplied with Water.

<color flavor>""Water is a very good servant, but it is a cruel master."" 
<right>C.G.D. Roberts</color><left>","Bombas de lago são autossuficientes e não precisam mais ser abastecidas com Água.

<color flavor>“A água é um ótimo servo, mas é um mestre cruel.”
<right>C.G.D. Roberts</color><left>","Les pompes de lac sont autosuffisantes et n'ont plus besoin d'être alimentées en eau.

<color flavor>« L'eau est une très bonne servante, et une maîtresse cruelle. »
<right>C.G.D. Roberts</color><left>","Die Seepumpen sind eigenständig und müssen nicht länger mit Wasser versorgt werden.

<color flavor>„Wasser ist ein sehr guter Diener, doch ein grausamer Herr.“
<right>C. G. D. Roberts</color><left>","Pompy jeziorne stają się samowystarczalne i nie wymagają już dostarczania wody.

<color flavor>„Woda jest wyśmienitym sługą, ale okrutnym panem”. 
<right>C.G.D. Roberts</color><left>","Озерные насосы становятся автономными и больше не требуют воды.

<color flavor>«Вода — хороший слуга, но жестокий господин».
<right>Чарльз Дж. Д. Робертс</color><left>","湖水泵变为自给自足，不再需要供应水。

<color flavor>“水用起来方便，伺候起来难。”
<right>C.G.D.罗伯茨</color><left>","Las bombas de lago son autosuficientes y no necesitan más suministros de agua.

<color flavor>""El agua es buena sirviente, pero también una maestra cruel"". 
<right>C.G.D. Roberts</color><left>"
"Landscaping projects progress without the need of Drones and are generally faster.

<color flavor>""Nothing is built on stone; all is built on sand, but we must build as if the sand were stone."" 
<right>Jorge Luis Borges</color><left>","Projetos de paisagismo progridem sem a necessidade de Drones e são geralmente mais rápidos.

<color flavor>“Nada é construído sobre pedra; tudo se constrói sobre areia, mas devemos construir como se a areia fosse pedra.”
<right>Jorge Luis Borges</color><left>","Les projets d'aménagement du paysage progressent sans drones et sont généralement plus rapides.

<color flavor>« Rien n'est bâti sur de la pierre, tout est bâti sur du sable, mais nous devons construire comme si le sable était de la pierre. »
<right>Jorge Luis Borges</color><left>","Landschaftsbauprojekte kommen nun ohne Drohnen aus und gehen allgemein schneller vonstatten.

<color flavor>„Nichts ist auf Stein gebaut; alles steht auf Sand, doch wir müssen bauen, als wäre der Sand Stein.“
<right>Jorge Luis Borges</color><left>","Projekty krajobrazowe są realizowane bez angażowania dronów, zwykle szybciej.

<color flavor>„Niczego nie buduje się na kamieniu; wszystko buduje się na piasku, lecz musimy budować tak, jakby piasek był kamieniem”. 
<right>Jorge Luis Borges</color><left>","Для ландшафтных проектов больше не требуются дроны. Проекты выполняются быстрее.

<color flavor>«Ничего не построено на камне, всё строится на песке, но мы должны строить так, как если бы песок был камнем».
<right>Хорхе Луис Борхес</color><left>","地形改造工程无需无人机就可进行，且总体速度加快。

<color flavor>“万物皆建于沙子而非石头上，但我们得把沙子当成石头。”
<right>豪尔赫·路易斯·博尔赫斯</color><left>","Los proyectos de paisajismo avanzan sin necesidad de drones y son más rápidos.

<color flavor>""Nada está construido sobre piedra; todo está construido sobre arena, pero debemos construir como si la arena fuera piedra"".
<right>Jorge Luis Borges</color><left>"
"Halves the Water<image UI/Icons/res_water_2.tga 1300> and the Temperature<image UI/Icons/res_temperature.tga 1300> requirements of grass, bushes, trees and Open Farm crops.

<color flavor>""The leaves and the light are one."" 
<right>Albert Einstein</color><left>","Corta pela metade a necessidade de Água<image UI/Icons/res_water_2.tga 1300> e Temperatura<image UI/Icons/res_temperature.tga 1300> da grama, dos arbustos, das árvores e de plantações de Fazendas Abertas.

<color flavor>“As folhas e a luz são um.”
<right>Albert Einstein</color><left>","Diminue de moitié les besoins en eau <image UI/Icons/res_water_2.tga 1300> et en température <image UI/Icons/res_temperature.tga 1300> de l'herbe, des buissons, des arbres et des cultures des fermes ouvertes.

<color flavor>« Les feuilles et la lumière ne font qu'un. »
<right>Albert Einstein</color><left>","Halbiert den Wasser-<image UI/Icons/res_water_2.tga 1300> und Temperaturbedarf<image UI/Icons/res_temperature.tga 1300> von Gras, Büschen, Bäumen und Nutzpflanzen auf offenen Farmen.

<color flavor>„Die Blätter und das Licht sind eins.“
<right>Albert Einstein</color><left>","Zmniejsza o połowę poziom wody <image UI/Icons/res_water_2.tga 1300> i temperatury <image UI/Icons/res_temperature.tga 1300> wymagany przez trawę, krzewy, drzewa i uprawy na polach uprawnych.

<color flavor>„Liście i światło są jednym”.
<right>Albert Einstein</color><left>","Вдвое сокращает требования к воде<image UI/Icons/res_water_2.tga 1300> и температуре<image UI/Icons/res_temperature.tga 1300> для травы, кустов, деревьев и открытых ферм.

<color flavor>«Листья со светом едины».
<right>Альберт Эйнштейн</color><left>","使草、灌木、树木和露天农场作物的水<image UI/Icons/res_water_2.tga 1300>和温度<image UI/Icons/res_temperature.tga 1300>需求减半。

<color flavor>“叶子离不开阳光。”
<right>阿尔伯特·爱因斯坦</color><left>","Reduce a la mitad los requisitos de agua <image UI/Icons/res_water_2.tga 1300> y temperatura <image UI/Icons/res_temperature.tga 1300> para los cultivos de césped, arbustos, árboles y granjas abiertas.

<color flavor>""Las hojas y la luz son la misma cosa"".
<right>Albert Einstein</color><left>"
"<color em>Buildings</color> construct themselves slowly without Drones. Nanites will seek out resources from nearby resource depots.

<color flavor>With a payload of several molecules and an electronic instrument used for both navigating and knowing its purpose, Construction Nanites form slightly saturated winds which to the casual observer would seem to erect buildings as if by magic.</color>","<color em>Construções</color> lentamente se erguem mesmo sem Drones. Nanites buscarão recursos em depósitos de recursos próximos.

<color flavor>Nanites de Construção têm uma carga útil de muitas moléculas e possuem um instrumento eletrônico usado tanto para navegar quanto para saber seu propósito. Eles formam ventos levemente saturados que, para um observador comum, podem passar a impressão de que as construções são erguidas magicamente.</color>","Les <color em>Bâtiments</color> se construisent lentement sans drone : des Nanites récupèrent les ressources dans les Dépôts avoisinants.

<color flavor>En combinant une charge de plusieurs molécules et un instrument électronique utilisé pour se diriger et connaître son objectif, les Nanites de Construction créent des vents saturés. Un observateur inhabitué aura l'impression de voir les Bâtiments s'ériger comme par magie.</color>","Die <color em>Gebäude</color> bauen sich langsam von selbst auf. Nanomaschinen holen Ressourcen von Lagern in der Nähe.

<color flavor>Dank einer Traglast von mehreren Molekülen und eines elektronischen Instruments, das sowohl zur Navigation als auch zur Zweckerfassung dient, können die Nanobaumaschinen leicht gesättigte Winde erzeugen, die bei Beobachtern den Anschein erwecken, dass Gebäude von Geisterhand errichtet werden.</color>","<color em>Budynki</color> powoli budują się same bez dronów. Nanity będą wyszukiwać surowce w pobliskich składach.

<color flavor>Za pomocą ładunku kilku cząsteczek i urządzenia elektronicznego służącego do sterowania i podejmowania decyzji nanity budowlane tworzą lekkie nasycone wietrzyki, których działanie sprawia na przypadkowym obserwatorze wrażenie, że budynki w czarodziejski sposób powstają same.</color>","Наниты медленно возводят <color em>постройки</color> без помощи дронов, тратя ресурсы с ближайших складов.

<color flavor>Перенося по несколько молекул и задействуя для навигации и распределения электронный инструмент, строительные наниты образуют насыщенные воздушные потоки — поэтому со стороны их работа похожа на волшебство.</color>","即使在没有无人机的情况下，<color em>建筑</color>也会缓慢建造。纳米机器人会从附近的资源仓库寻找材料。

<color flavor>靠着分子级别的构造，和用来导航与接收命令的电子元件，建筑纳米机器人就像无孔不入的微风一样进行建造任务。在普通人的眼里，建筑仿佛就像施了魔法一样建好了。</color>","Las <color em>construcciones</color> se crean solas lentamente y sin drones. Los nanites buscarán recursos de los depósitos más cercanos.

<color flavor>Con una carga de muchas moléculas y un instrumento utilizado tanto para navegar como para conocer su finalidad, los nanorrobots constructores crean leves corrientes de aire que parecen crear construcciones por arte de magia.</color>"
"Buildings require <color em>maintenance</color> less often.

<color flavor>""Don't confound static electricity with ecstatic eccentricity. One will leave your hair up, the other will live up in the air!""
<right>Ana Claudia Antunes</color><left>","Construções requerem <color em>manutenção</color> com menor frequência.

<color flavor>""Não confunda eletricidade estática com excentricidade extática. Uma deixa seus cabelos em pé, e a outra te deixa de pernas para o ar!""
<right>Ana Claudia Antunes</color><left>","Les Bâtiments nécessitent une <color em>maintenance</color> moins régulière.

<color flavor>« Attention à ne pas confondre électricité statique et excentricité extatique. L'une fait se dresser les cheveux tandis que l'autre fait se lever les yeux ! »
<right>Ana Claudia Antunes</color><left>","Gebäude müssen seltener <color em>gewartet</color> werden.

<color flavor>„Verwechsle statische Elektrizität nicht mit ekstatischer Exzentrizität. Ersteres sorgt dafür, dass dir die Haare zu Berge stehen, das Zweite verbreitet sich in der Luft!“
<right>Ana Claudia Antunes</color><left>","Budynki rzadziej potrzebują <color em>konserwacji.</color>

<color flavor>„Nie należy mylić statycznej elektryczności z ekstatyczną ekscentrycznością. Jedna nastroszy ci włosy, a druga może poderwać cię do lotu!”
<right>Ana Claudia Antunes</color><left>","Постройки реже требуют <color em>обслуживания.</color>

<color flavor>«Не путайте статическое электричество с экстатической эксцентричностью. Волосы дыбом и от того, и от другого, но по разным причинам!»
<right>Ана Клаудиа Антунеш</color><left>","降低建筑需要<color em>维护</color>的频率。

<color flavor>“不要把静电和高压电弧弄混。前者会让你毛发竖立，而后者会让你直入云霄！”
<right>安娜·克劳迪娅·安图内斯</color><left>","Las construcciones necesitan <color em>mantenimiento</color> menos a menudo.

<color flavor>""No hay que confundir la energía estática con la excentricidad extática. ¡Una de ellas te dejará los pelos de punta, y la otra flota en el aire!"".
<right>Ana Claudia Antunes</color><left>"
"When a colonist dies there's a 50% chance he or she is <color em>reconstructed</color> as youth with the same traits.

<color flavor>Like the legend of the Phoenix, all ends with beginnings. Consciousness being an electrical charge within a specific neuron pattern, replicating it eventually comes down to data fidelity.</color>","Quando um colono morre, há 50% de chance de ele ser <color em>reconstituído</color> como uma criança com os mesmos traços.

<color flavor>Como a lenda da Fênix, tudo termina com inícios. Já que a consciência é uma carga elétrica dentro de um padrão neuronal específico, replicá-la acabará se resumindo à fidelidade dos dados.</color>","Lorsqu'un colon meurt, il a 50 % de chances d'être <color em>reconstruit</color> sous forme d'enfant avec les mêmes Traits.

<color flavor>Telle la légende du Phénix, toute fin est un nouveau début. La conscience est une charge électrique avec ses propres spécificités neuronales et sa réplication n'est finalement qu'une histoire d'exactitude des données.</color>","Wenn ein Kolonist stirbt, wird er oder sie mit einer Chance von 50 % als Kind mit denselben Eigenschaften <color em>rekonstruiert</color>.

<color flavor>Alles endet mit einem neuen Anfang, genau wie die Legende des Phönix. Da es sich beim Bewusstsein nur um einen elektrischen Impuls innerhalb eines Neuronenmusters handelt, muss man sich nur an die Daten halten, um es zu ersetzen.</color>","Po śmierci kolonisty istnieje 50% szansy, że <color em>zostanie zrekonstruowany</color> jako młody człowiek o tych samych cechach.

<color flavor>Tak jak w legendzie o feniksie - każdy koniec oznacza nowy początek. Skoro świadomość to krążenie ładunków elektrycznych w określonym układzie neuronów, jej kopiowanie ostatecznie sprowadzi się do odpowiedniego poziomu dokładności.</color>","Существует вероятность в 50%, что после смерти колониста <color em>воссоздадут</color> в теле молодого человека с теми же чертами характера.

<color flavor>Легенда о фениксе гласит, что конец всего в мире неразрывно связан с началом. Сознание — электрический заряд внутри особой последовательности нейронов, и его воспроизведение рано или поздно сводится к верности передачи данных.</color>","殖民地居民死亡时，有50%的几率<color em>重构</color>为拥有同样特性的年轻人。

<color flavor>正如传说中的凤凰一样，生命轮回不止。意识归根结底，不过是具有特定神经元模式的电荷。只要能将其完全复制，就能保存生前的全部记忆。</color>","Cuando muere un colono, hay un 50 % de probabilidad de que <color em>renazca</color> como un niño con los mismos caracteres.

<color flavor>Como la leyenda del fénix, todo termina como comenzó. Puesto que la consciencia es una carga eléctrica dentro de un patrón neuronal específico, replicarla es cuestión de fidelidad de información.</color>"
"Bodies of <color em>dead Colonists</color> are converted to Food.

<color flavor>""Soylent Green is made out of people. They are making food out of people and we know that. We are actually OK with that.""</color>","Cadáveres de <color em>Colonos falecidos</color> são convertidos em Alimento.

<color flavor>""Soylent Verde é feito com gente. Eles estão fazendo comida com pessoas, e nós sabemos disso. E estamos de acordo.""</color>","Les corps des <color em>colons morts</color> sont convertis en Nourriture.

<color flavor>« Le Soleil Vert est fait de gens. Ils font de la nourriture à partir de gens et nous le savons. Et nous acceptons ça. »</color>","Die Leichen <color em>toter Kolonisten</color> werden in Nahrung umgewandelt.

<color flavor>„Soylent Green ist Menschenfleisch. Sie stellen aus Menschen Nahrung her und das wissen wir. Wir nehmen das sogar hin.“</color>","Ciała <color em>zmarłych kolonistów</color> są przerabiane na żywność.

<color flavor>„Zielona pożywka jest produkowana z ludzi. Oni przerabiają ludzi na jedzenie i my o tym wiemy. W sumie nam to wcale nie przeszkadza”.</color>","Тела <color em>мертвых колонистов</color> перерабатываются в пищу.

<color flavor>«Сойлентовую зелень делают из людей. Мы знаем, что производители берут людей и делают из них еду. И нас это не смущает».</color>","<color em>死亡居民</color>的尸体会转化为食物。

<color flavor>“绿色食物是用人的尸体制成的。他们把尸体做成食物，我们早就知道了，我们觉得没什么不妥。”</color>","Los cuerpos de los <color em>colonos fallecidos</color> se convierten en comida.

<color flavor>""Soylent Green está hecho de personas. Sabemos que están haciendo comida con nosotros. Lo peor es que nos parece bien"".</color>"
"Unlocks <color em>Rare Trait - Empath</color>. Empaths raise the Morale of all Colonists in the Dome. The effect stacks with other Empaths.

<color flavor>""`The human brain has 100 billion neurons, each neuron connected to 10 thousand other neurons. Sitting on your shoulders is the most complicated object in the known universe.""
<right>Michio Kaku</color><left>","Desbloqueia um <color em>Traço Raro - Empático.</color> Empáticos melhoram o Ânimo de todos os colonos dentro do Domo. Os efeitos são cumulativos com outros Empáticos.

<color flavor>""O cérebro humano tem 100 bilhões de neurônios, cada um ligado a outros 10 mil neurônios. Sobre os seus ombros está o objeto mais complicado do universo que conhecemos.""
<right>Michio Kaku</color><left>","Débloque le <color em>Trait rare : Empathique.</color> Une personne Empathique augmente le Moral de tous les colons sous le Dôme. Cet effet est cumulable avec d'autres personnes Empathiques.

<color flavor>« Le cerveau humain a 100 milliards de neurones, chacun connecté à 10 000 autres neurones. Sur vos épaules repose l'objet le plus complexe de l'Univers connu. »
<right>Michio Kaku</color><left>","Schaltet eine <color em>seltene Eigenschaft – Empath</color> – frei. Empathen erhöhen die Moral aller Kolonisten in der Kuppel. Der Effekt skaliert mit anderen Empathen.

<color flavor>„Das menschliche Gehirn besteht aus 100 Milliarden Neuronen, von denen jedes mit zehntausend weiteren Neuronen verbunden ist. Zwischen unseren Schultern befindet sich das komplizierteste Objekt im bekannten Universum.“
<right>Michio Kaku</color><left>","Odblokowuje <color em>rzadką cechę - empatię.</color> Empaci zwiększają morale wszystkich kolonistów w kopule. Wpływ jednego empaty sumuje się z efektami innych empatów.

<color flavor>„Ludzki mózg liczy 100 miliardów neuronów, a każdy z nich jest połączony z 10 tysiącami innych neuronów. Masz w swojej głowie najbardziej skomplikowany obiekt w znanym Wszechświecie”.
<right>Michio Kaku</color><left>","Открывает <color em>редкую черту — эмпатия.</color> Эмпаты улучшают настрой всех колонистов в куполе. Если в куполе несколько эмпатов, эффекты суммируются.

<color flavor>«В человеческом мозге сто миллиардов нейронов, каждый из которых связан с десятью тысячами других нейронов. У вас на плечах самый сложный предмет во всей Вселенной».
<right>Митио Каку</color><left>","解锁<color em>稀有特性 -  体贴</color>。体贴特性可以提高穹顶中所有殖民地居民的士气。体贴效果可以叠加。

<color flavor>“人类的大脑有着一千亿个神经元，而每个神经元又与其它几万个神经元相连接。你两肩之间的东西，是整个宇宙里最复杂的造物。”
<right>谷川道雄</color><left>","Desbloquea el <color em>carácter raro empatía.</color> La empatía aumenta la moral de todos los colonos de la cúpula. Los efectos se acumulan con los de otros colonos con este carácter.

<color flavor>""El cerebro humano tiene 100 mil millones de neuronas, cada neurona conectada a otras 10 mil neuronas. Tienes sobre tus hombros el objeto más complicado del universo"".
<right>Michio Kaku</color><left>"
